,train_loss,val_loss,train_acc,val_acc,epochs
0,0.17995240692551254,0.07969787460751832,0.9313386524822694,0.9720703125,0
1,0.16018454688237915,0.09806144377216697,0.9413785460992907,0.967578125,1
2,0.16390861372681373,0.10273733246140182,0.9408023049645389,0.9662109375,2
3,0.190185343278638,0.1382761443965137,0.9315602836879432,0.9525390625,3
4,0.1829329291028334,0.1362201226875186,0.934552304964539,0.9482421875,4
5,0.1971750187535658,0.19231727719306946,0.9265735815602837,0.91484375,5
6,0.17990032866174446,0.18272279878146946,0.9332890070921985,0.909765625,6
7,0.16475043791934108,0.14371231803670526,0.9376551418439716,0.96328125,7
8,0.18130204406507472,0.12231588363647461,0.9334219858156029,0.9548828125,8
9,0.1769620865477738,0.08833207446150482,0.9355274822695037,0.9607421875,9
10,0.17294793079296747,0.4273610155796632,0.9382978723404256,0.8396484375,10
