,train_loss,val_loss,train_acc,val_acc,epochs
0,0.3232775348773662,0.1531508140033111,0.8927304964539007,0.966796875,0
1,0.20448330287814986,0.12355033913627267,0.9416001773049646,0.966796875,1
2,0.18407751281633444,0.11716931634873617,0.9352836879432624,0.9609375,2
3,0.17561920897387867,0.11114535521483049,0.9332890070921985,0.9609375,3
4,0.17118618386328643,0.10875183861935511,0.9296320921985816,0.953125,4
5,0.17503062491007942,0.11228156743891304,0.9309618794326241,0.9609375,5
6,0.16876042108480813,0.10231639132689452,0.9297429078014184,0.9609375,6
7,0.16676659461982707,0.10127738292067079,0.9316267730496454,0.955078125,7
8,0.15808073275372492,0.10545351648761425,0.9353945035460993,0.96484375,8
9,0.16190680411003583,0.09651103938085726,0.9312943262411347,0.9580078125,9
10,0.15468341817564152,0.11873712428496219,0.9331781914893617,0.966796875,10
11,0.15760286876284485,0.09235340622399235,0.9355053191489362,0.9599609375,11
12,0.16612808400408385,0.10242889516302967,0.9299645390070922,0.962890625,12
13,0.16463237810642162,0.11039415194682078,0.9317375886524822,0.966796875,13
14,0.15808410823001717,0.09432116858079098,0.9342863475177305,0.962890625,14
15,0.15337162048073735,0.09323635111286421,0.9353945035460993,0.9560546875,15
16,0.1604914020991336,0.09089375234907493,0.9276374113475178,0.958984375,16
17,0.15089810238028248,0.09028376667629345,0.9340647163120568,0.958984375,17
18,0.15557556510869916,0.09098317391908495,0.9312943262411347,0.95703125,18
19,0.1587673705665672,0.08983705537684727,0.9321808510638298,0.958984375,19
20,0.15502881230324084,0.08870609812584007,0.931072695035461,0.958984375,20
21,0.15562300099363774,0.08985481212585,0.933843085106383,0.953125,21
22,0.15775972550589565,0.09199119488039287,0.9312943262411347,0.9609375,22
23,0.15138672818660948,0.08932833646031213,0.9378324468085106,0.958984375,23
24,0.15617943539264353,0.0895029345228977,0.9292996453900709,0.958984375,24
25,0.15555206841478744,0.09243764733764692,0.9311835106382979,0.9599609375,25
